Negative,"My last two BLU phones were alright, but none carried the 4g LTE speed. And now, I finally have the Studio C 5+5 LTE to give me the speed and storage space I need!"
Negative,Very nice budget phone with plenty of features. However it is missing a compass.
Negative,"phone stop charging in one month,i contacted BLU and advised they said since the screen was broken it void warranty,even though i dropped it after 2 weeks of no charging and another battery,it is cheap garbage stay away from BLU"
Negative,Full HD image!
Negative,"damaged cell came the battery is not charging , always at 0% , thus can not use the computer, I can do about it , I am very unhappy"
Negative,Absolutely loving the Blu's. They are great.
Negative,I bought the phone as a Christmas gift for my oldest son & he loves it.
Negative,Phone started messing up soon as i got it. It won't let me use the bottom corner of the screen.
Negative,Gave as a give since the original person who ordered it changed their mind.
Negative,"This phone is substandard at best! Constantly reboots, and locks up requiring restart. Holds an underwhelming # of apps. Would not buy or recommend."
Negative,I am pleased thanks
Negative,Love the phone
Negative,This phone is an ok model but the storage is crappy.. It freezes every now and then
Negative,recommended
Negative,This Is An Horrible Phone It Messed Up Within A Weeks Time..
Negative,THE BEST FOR ITS TYPE AND LONG HOURS DURATION
Negative,"Well, I ordered this phone to replace my Galaxy S3 that I broke after 2 yrs. working construction. This phone was delivered to my hotel out of town in 24 hrs by amazon, awesome customer service, While the screen and cameras aren't as good as my samsung, the are very good. The build quality of the phone seems excellent after 1 month. I appreciate the lack of bloatware on the phone. When I got home and showed it to my wife, I had to order her one since its unlocked and works in the Dominican Republic(she has a Galaxy 4). In short , its a great phone, lots of quality at a very low price. I would of ordered one of their LTE phones but they had a backlog at the time. Go BLU, great quality at a great price! At this price compared to buying a phone from T Mobile or ATT, I can have a new phone every year at an affordable price!"
Negative,"This is my 3rd BLU phone, Love the good value. Takes great photos"
Negative,Good básic Phone
Negative,I both this phone for somebody and it works great thanks for the case and screen protector. Will definately buy again .
Negative,while in use or stand by this phone will be warm or hot killing the battery mine died with in 2-3 hours or just sitting there doing nothing from fully charged to dead I don't thing its the battery I think is the phone is just a power hog even while in stand by its still draining the battery and is always hot do not buy this phone also the 8 gb is a lie there is only 3.11gb available to use
Negative,"I hate this thing so much i gave it to my brother in law when he dropped his in the toilet. I hoped he would continue the trend but no, he just uses it for work or whatever."
Negative,Great phone
Negative,I am really impressed with how this phone works. For a cheap phone it really does have a lot of pricey features.It is super slim. Comes with a silicone case to protect the cornersThe speaker phone is loud which is nice because I use it a lot.It is android based. Has a decent camera. fast enough processor. If you are a tech junkie that has to have the best of the best this is not for you. But if you like to play simple games and use apps like Facebook this phone is perfect for the price.I could not be happier and this is the type of phone that I will continue to buy and save my big bucks for more important things.
Negative,excellet phone
Negative,I had no problems using it out of the country.Will buy it again when traveling to Africa
Negative,Good so far
Negative,excellent phone
Negative,Amazing phone especially for the price. I love it and use it in my AT&T plan.
Negative,"I am a Georgia Resident (USA) and T-mobile User.. I am tired of paying ridiculous prices for new phones and having them break all the time. Warranty is too expensive and only cover a couple of times. And half the time buying an older or used phone it ends up having something bad that I didn't know until long time use or it dies on you. So I though I would give this a try. The quality of these phones are actually decent and they work really well. They do not have the Bloatware (T-mobile apps, AT&T Apps, Verizon Apps, Etc) that most phones and thus makes it seem fairly fast. Long time I am not sure how long these will last but at a range of $200 or $300 for some, it is not life or death if they fall and break as compared to those $600-700 phones that you get in the store. This one in particular made it good for the screen size, similar to my S6 Edge. The only difference is quality in screen but it is still fairly different. If you are trying to the latest phone, at half the price, just compare the specs of these phones (RAM, PROCESSOR, STORAGE, BATTERY SIZE, ETC.)"
Negative,Worth for money
Negative,I can not get Facebook to download. I keep getting error 504. The whole reason I got the phone was for Facebook. By by blu.
Negative,great
Negative,"Very nice phone! Good quality for the price! Good size, speed, battery, apps, etc."
Negative,I really loved this cellphone
Negative,I'm not sure about this phone but I had to send it back because I could not hear when ppl called me the earpiece vol is very low even when I turned it up to the max
Negative,"I give 5 stars because the performance of this phone is excellent having in consideration the price,LTE,OS lollipop ,fast respons etc.No complaint for battery and camera didn't expected first quality for the price I paid"
Negative,This phone sucks..the ear piece is low...the battery is terrible... The key board is just said ...when u trying to enter a card number or even when texting it types n the wrong letter or number...I'm scared to purchase another ...do anyone have and idea brands to buy for straight talk services I had this phone for two months now the speakers out smh
Negative,Nice phone
Negative,"This phone has a nice large screen, camera is good, speaker is phenomenal. The phone is pretty (not important but still worth mentioning). It comes with a protective case that is color coordinated to the phone. It comes with a screen protector. This phone is absolutely wonderful especially for the low price. I would definitely recommend this phone, and am considering buying another as I bought this for my daughter. If you are budget minded and want a nice phone for a pay as you go or no contract plan this is the ticket!!!"
Negative,awesome phone love it and highly recommended to buy this product.
Negative,This phone suck! !!
Negative,beautiful and working good
Negative,"Packaged well, easy to use, so far, so great!"
Negative,"Love phone. Easy to work. Haven't had chance to get straight talk yet, so will have to see bout any issues regarding this."
Negative,Excelent
Negative,Just great
Negative,I love the phone 😍
Negative,So far so good. Love the video and sound quality! Fast and easy. Pictures look great but im not a picrure fanatic either. But the touch screen is hard. Have to tap multiple times. Overall well worth it for my budget.
Negative,Top demais recomendo
Negative,"I purchase it for my friend, she like it alot thanks."
Negative,Great phone for less money. Why get an apple or Samsung device when this will do everything.
Negative,"Here goes a realistic review:I spent approximately 2 weeks researching a budget friendly replacement to my iPhone 5s that took a swim with me. I am over making payments to a device that needs warranties and all sorts of addons so an Android phone in the range of $50-$150 seems reasonable.I looked into EVERY brand from Nokia, LG, Motorola, Chinese brands, and finally the American company BLU. To be honest, I was trying to avoid BLU. I felt as if since it were an American manufacturer supported heavily by Amazon that there was some sort of catch. A lot of reviews I read for other BLU devices also scared me by talking about OS malfunctions and poor performance. This is the only BLU phone with excellent reviews across the board in my budget range.Here's my thoughts so far. The device looks fantastic and runs the latest version of Android, which isn't terrible coming from a long time iOS user. I will say that the hardware in this 5"" phone makes it operate smoothly. With an extra gigabyte of RAM it could be even better but being that its a sub $100 phone it's great! I spent the first few minutes uninstalling the Amazon Apps (obvious partnership) and configuring the settings to my liking.PRO:- 5"" display with good resolution and OK brightness- Smooth interface with little lag or freezing- Lightweight- Acceptable placement of volume and power buttons, although I think there are better places to put them- Dual SIM for both personal and business lines which can have different ringtone settings for each.- Excellent Bluetooth connectivity- Comes with a case and screen protector as well as the standard charging accessories. All quality material.CON:- Battery life is not to my liking. I fixed this by keeping the phone on a lower brightness setting. It seems this is the major cause of battery loss.- Needs an aftermarket APP for the camera. The default camera app is OK but the image quality is fairly low even in optimal light. An aftermarket APP made this problem go away and luckily can be set as the ""default"" so the better APP can be launched from the lock screen.- Notifications: This phone likes to tell you everything it's thinking about. It alerts you every time it drops a percentage down of battery from 10% to 1%. I couldn't find anywhere on the web or within the phone settings to stop notifying me. Not a huge con but more of an annoyance.Conclusion:I'm a person who needs a phone for calls, texting, email and the occasional web browsing. I'm not too sure if this is the phone for games and tons of use but this phone is fantastic at it's price point. I would recommend this product to anyone in need of a cost effective smartphone."
Negative,first week awesome after that phone would lose charge fast and soon stopped charging all together
Negative,The product came faster than expected and I recommend it.
Negative,everything was as expected
Negative,"Not a good buy for me, have to return it to Amazon. I tried buying a TMobile or ATT sim card on line and after entering the IMEI number received the message that the IMEI isn't valid and that the device is unusable and I should buy another device."
Negative,"Incredible, it exceeded expectations. 5 stars..."
Negative,"I purchase it for my friend, she like it alot thanks."
Negative,"very happy with the product, price and shipping"
Negative,A very good stock Android
Negative,Id like to send back
